iteration,time_out,hand_wrist_away,object_away,ep_len,mean_reward,voc,obj_pos_err,obj_rot_err,rw_err,lw_err,rf_err,lf_err,R_force_closure,R_object_kp,R_hand_kp,R_hand_joint,R_termination
131,0.9968,0.0,0.0032,274.62,40.16,1.0,0.0066,0.0098,0.0162,0.037,0.2215,0.1838,1.2603,0.0,0.1255,0.1224,-0.0007
132,0.9968,0.0,0.0032,273.87,40.54,1.0,0.0054,0.0079,0.0162,0.0366,0.2215,0.1787,1.3078,0.0,0.1293,0.1263,0.0
133,0.997,0.0,0.003,298.49,44.54,1.0,0.0067,0.0113,0.0157,0.0369,0.2218,0.1911,1.314,0.0,0.1316,0.1285,0.0
134,0.9971,0.0,0.0029,259.92,37.32,1.0,0.0055,0.0075,0.0161,0.0364,0.2224,0.173,1.3128,0.0,0.1306,0.1275,-0.0003
135,0.9971,0.0,0.0029,275.97,40.39,1.0,0.008,0.0108,0.0164,0.0371,0.2202,0.182,1.287,0.0,0.1269,0.1238,-0.0019
136,0.997,0.0,0.003,268.17,39.34,1.0,0.007,0.01,0.0163,0.0367,0.2213,0.1815,1.3868,0.0,0.1353,0.132,-0.0011
137,0.9964,0.0,0.0036,266.08,38.58,1.0,0.0064,0.0087,0.0166,0.0363,0.2207,0.1823,1.2855,0.0,0.1278,0.1248,-0.0008
138,0.9963,0.0,0.0037,245.31,35.11,1.0,0.0086,0.016,0.0165,0.0374,0.2208,0.2062,1.2982,0.0,0.1296,0.1264,-0.0004
139,0.9964,0.0,0.0036,285.81,42.0,1.0,0.0071,0.0096,0.0165,0.0363,0.2212,0.1859,1.3911,0.0,0.1381,0.1349,-0.0006
140,0.996,0.0,0.004,290.7,43.21,1.0,0.008,0.0099,0.0165,0.0366,0.2195,0.1837,1.3171,0.0,0.1296,0.1265,-0.0019
141,0.9956,0.0,0.0044,275.48,41.14,1.0,0.0086,0.016,0.0162,0.0377,0.22,0.2118,1.3347,0.0,0.1309,0.1276,0.0
142,0.9962,0.0,0.0038,272.89,40.33,1.0,0.006,0.0092,0.0163,0.0364,0.2209,0.1829,1.3415,0.0,0.1324,0.1293,0.0
143,0.9969,0.0,0.0031,269.97,39.63,1.0,0.0083,0.0142,0.0161,0.0373,0.2202,0.2043,1.3787,0.0,0.1344,0.131,0.0
